[2016-09-06 07:37:49,464][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_triggerexpression`.`id`, `background_triggerexpression`.`trigger_id`, `background_triggerexpression`.`service_id`, `background_triggerexpression`.`service_index_id`, `background_triggerexpression`.`specified_index_key`, `background_triggerexpression`.`operator_type`, `background_triggerexpression`.`data_calc_func`, `background_triggerexpression`.`data_calc_args`, `background_triggerexpression`.`threshold`, `background_triggerexpression`.`logic_type`, `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo`, `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo`, `background_serviceindex`.`id`, `background_serviceindex`.`name`, `background_serviceindex`.`key`, `background_serviceindex`.`data_type`, `background_serviceindex`.`memo` FROM `background_triggerexpression` INNER JOIN `background_trigger` ON (`background_triggerexpression`.`trigger_id` = `background_trigger`.`id`) INNER JOIN `background_service` ON (`background_triggerexpression`.`service_id` = `background_service`.`id`) INNER JOIN `background_serviceindex` ON (`background_triggerexpression`.`service_index_id` = `background_serviceindex`.`id`) WHERE `background_triggerexpression`.`trigger_id` = 1 ORDER BY `background_triggerexpression`.`id` ASC; args=(1,)
[2016-09-06 07:37:50,142][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:37:50,142][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:37:52,143][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:37:52,144][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:37:54,138][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:37:54,138][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:37:54,461][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:37:54,462][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT VERSION(); args=None
[2016-09-06 07:37:54,462][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host` WHERE `background_host`.`id` = 1; args=(1,)
[2016-09-06 07:37:54,463][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_template`.`id`, `background_template`.`name` FROM `background_template` INNER JOIN `background_host_templates` ON (`background_template`.`id` = `background_host_templates`.`template_id`) WHERE `background_host_templates`.`host_id` = 1; args=(1,)
[2016-09-06 07:37:54,464][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo` FROM `background_service` INNER JOIN `background_template_services` ON (`background_service`.`id` = `background_template_services`.`service_id`) WHERE `background_template_services`.`template_id` = 1; args=(1,)
[2016-09-06 07:37:54,465][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_hostgroup`.`id`, `background_hostgroup`.`name`, `background_hostgroup`.`memo` FROM `background_hostgroup` INNER JOIN `background_host_host_groups` ON (`background_hostgroup`.`id` = `background_host_host_groups`.`hostgroup_id`) WHERE `background_host_host_groups`.`host_id` = 1; args=(1,)
[2016-09-06 07:37:54,472][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:37:54,473][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT VERSION(); args=None
[2016-09-06 07:37:54,474][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo` FROM `background_service` WHERE `background_service`.`name` = 'LinuxMemory'; args=(u'LinuxMemory',)
[2016-09-06 07:37:54,476][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host` WHERE `background_host`.`id` = 1; args=(1,)
[2016-09-06 07:37:54,477][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_template`.`id`, `background_template`.`name` FROM `background_template` INNER JOIN `background_host_templates` ON (`background_template`.`id` = `background_host_templates`.`template_id`) WHERE `background_host_templates`.`host_id` = 1; args=(1,)
[2016-09-06 07:37:54,478][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo` FROM `background_trigger` INNER JOIN `background_template_triggers` ON (`background_trigger`.`id` = `background_template_triggers`.`trigger_id`) WHERE `background_template_triggers`.`template_id` = 1; args=(1,)
[2016-09-06 07:37:54,479][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_hostgroup`.`id`, `background_hostgroup`.`name`, `background_hostgroup`.`memo` FROM `background_hostgroup` INNER JOIN `background_host_host_groups` ON (`background_hostgroup`.`id` = `background_host_host_groups`.`hostgroup_id`) WHERE `background_host_host_groups`.`host_id` = 1; args=(1,)
[2016-09-06 07:37:54,481][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_triggerexpression`.`id`, `background_triggerexpression`.`trigger_id`, `background_triggerexpression`.`service_id`, `background_triggerexpression`.`service_index_id`, `background_triggerexpression`.`specified_index_key`, `background_triggerexpression`.`operator_type`, `background_triggerexpression`.`data_calc_func`, `background_triggerexpression`.`data_calc_args`, `background_triggerexpression`.`threshold`, `background_triggerexpression`.`logic_type`, `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo`, `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo`, `background_serviceindex`.`id`, `background_serviceindex`.`name`, `background_serviceindex`.`key`, `background_serviceindex`.`data_type`, `background_serviceindex`.`memo` FROM `background_triggerexpression` INNER JOIN `background_trigger` ON (`background_triggerexpression`.`trigger_id` = `background_trigger`.`id`) INNER JOIN `background_service` ON (`background_triggerexpression`.`service_id` = `background_service`.`id`) INNER JOIN `background_serviceindex` ON (`background_triggerexpression`.`service_index_id` = `background_serviceindex`.`id`) WHERE `background_triggerexpression`.`trigger_id` = 1 ORDER BY `background_triggerexpression`.`id` ASC; args=(1,)
[2016-09-06 07:37:56,138][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:37:56,138][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:37:57,475][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:37:57,476][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT VERSION(); args=None
[2016-09-06 07:37:57,476][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo` FROM `background_service` WHERE `background_service`.`name` = 'LinuxCpu'; args=(u'LinuxCpu',)
[2016-09-06 07:37:57,479][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host` WHERE `background_host`.`id` = 1; args=(1,)
[2016-09-06 07:37:57,480][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_template`.`id`, `background_template`.`name` FROM `background_template` INNER JOIN `background_host_templates` ON (`background_template`.`id` = `background_host_templates`.`template_id`) WHERE `background_host_templates`.`host_id` = 1; args=(1,)
[2016-09-06 07:37:57,481][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo` FROM `background_trigger` INNER JOIN `background_template_triggers` ON (`background_trigger`.`id` = `background_template_triggers`.`trigger_id`) WHERE `background_template_triggers`.`template_id` = 1; args=(1,)
[2016-09-06 07:37:57,482][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_hostgroup`.`id`, `background_hostgroup`.`name`, `background_hostgroup`.`memo` FROM `background_hostgroup` INNER JOIN `background_host_host_groups` ON (`background_hostgroup`.`id` = `background_host_host_groups`.`hostgroup_id`) WHERE `background_host_host_groups`.`host_id` = 1; args=(1,)
[2016-09-06 07:37:57,483][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_triggerexpression`.`id`, `background_triggerexpression`.`trigger_id`, `background_triggerexpression`.`service_id`, `background_triggerexpression`.`service_index_id`, `background_triggerexpression`.`specified_index_key`, `background_triggerexpression`.`operator_type`, `background_triggerexpression`.`data_calc_func`, `background_triggerexpression`.`data_calc_args`, `background_triggerexpression`.`threshold`, `background_triggerexpression`.`logic_type`, `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo`, `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo`, `background_serviceindex`.`id`, `background_serviceindex`.`name`, `background_serviceindex`.`key`, `background_serviceindex`.`data_type`, `background_serviceindex`.`memo` FROM `background_triggerexpression` INNER JOIN `background_trigger` ON (`background_triggerexpression`.`trigger_id` = `background_trigger`.`id`) INNER JOIN `background_service` ON (`background_triggerexpression`.`service_id` = `background_service`.`id`) INNER JOIN `background_serviceindex` ON (`background_triggerexpression`.`service_index_id` = `background_serviceindex`.`id`) WHERE `background_triggerexpression`.`trigger_id` = 1 ORDER BY `background_triggerexpression`.`id` ASC; args=(1,)
[2016-09-06 07:37:58,142][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:37:58,142][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:37:59,477][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:37:59,477][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT VERSION(); args=None
[2016-09-06 07:37:59,478][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo` FROM `background_service` WHERE `background_service`.`name` = 'LinuxNetwork'; args=(u'LinuxNetwork',)
[2016-09-06 07:37:59,481][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host` WHERE `background_host`.`id` = 1; args=(1,)
[2016-09-06 07:37:59,482][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_template`.`id`, `background_template`.`name` FROM `background_template` INNER JOIN `background_host_templates` ON (`background_template`.`id` = `background_host_templates`.`template_id`) WHERE `background_host_templates`.`host_id` = 1; args=(1,)
[2016-09-06 07:37:59,483][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo` FROM `background_trigger` INNER JOIN `background_template_triggers` ON (`background_trigger`.`id` = `background_template_triggers`.`trigger_id`) WHERE `background_template_triggers`.`template_id` = 1; args=(1,)
[2016-09-06 07:37:59,484][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_hostgroup`.`id`, `background_hostgroup`.`name`, `background_hostgroup`.`memo` FROM `background_hostgroup` INNER JOIN `background_host_host_groups` ON (`background_hostgroup`.`id` = `background_host_host_groups`.`hostgroup_id`) WHERE `background_host_host_groups`.`host_id` = 1; args=(1,)
[2016-09-06 07:37:59,486][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_triggerexpression`.`id`, `background_triggerexpression`.`trigger_id`, `background_triggerexpression`.`service_id`, `background_triggerexpression`.`service_index_id`, `background_triggerexpression`.`specified_index_key`, `background_triggerexpression`.`operator_type`, `background_triggerexpression`.`data_calc_func`, `background_triggerexpression`.`data_calc_args`, `background_triggerexpression`.`threshold`, `background_triggerexpression`.`logic_type`, `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo`, `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo`, `background_serviceindex`.`id`, `background_serviceindex`.`name`, `background_serviceindex`.`key`, `background_serviceindex`.`data_type`, `background_serviceindex`.`memo` FROM `background_triggerexpression` INNER JOIN `background_trigger` ON (`background_triggerexpression`.`trigger_id` = `background_trigger`.`id`) INNER JOIN `background_service` ON (`background_triggerexpression`.`service_id` = `background_service`.`id`) INNER JOIN `background_serviceindex` ON (`background_triggerexpression`.`service_index_id` = `background_serviceindex`.`id`) WHERE `background_triggerexpression`.`trigger_id` = 1 ORDER BY `background_triggerexpression`.`id` ASC; args=(1,)
[2016-09-06 07:38:00,142][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:38:00,142][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:38:02,137][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:38:02,137][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:38:04,140][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:38:04,140][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host`; args=()
[2016-09-06 07:38:04,484][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:38:04,484][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT VERSION(); args=None
[2016-09-06 07:38:04,485][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host` WHERE `background_host`.`id` = 1; args=(1,)
[2016-09-06 07:38:04,486][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_template`.`id`, `background_template`.`name` FROM `background_template` INNER JOIN `background_host_templates` ON (`background_template`.`id` = `background_host_templates`.`template_id`) WHERE `background_host_templates`.`host_id` = 1; args=(1,)
[2016-09-06 07:38:04,487][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo` FROM `background_service` INNER JOIN `background_template_services` ON (`background_service`.`id` = `background_template_services`.`service_id`) WHERE `background_template_services`.`template_id` = 1; args=(1,)
[2016-09-06 07:38:04,488][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_hostgroup`.`id`, `background_hostgroup`.`name`, `background_hostgroup`.`memo` FROM `background_hostgroup` INNER JOIN `background_host_host_groups` ON (`background_hostgroup`.`id` = `background_host_host_groups`.`hostgroup_id`) WHERE `background_host_host_groups`.`host_id` = 1; args=(1,)
[2016-09-06 07:38:04,496][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[2016-09-06 07:38:04,497][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT VERSION(); args=None
[2016-09-06 07:38:04,497][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo` FROM `background_service` WHERE `background_service`.`name` = 'LinuxMemory'; args=(u'LinuxMemory',)
[2016-09-06 07:38:04,500][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_host`.`id`, `background_host`.`name`, `background_host`.`ip_addr`, `background_host`.`monitored_by`, `background_host`.`host_alive_check_interval`, `background_host`.`status`, `background_host`.`memo` FROM `background_host` WHERE `background_host`.`id` = 1; args=(1,)
[2016-09-06 07:38:04,501][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_template`.`id`, `background_template`.`name` FROM `background_template` INNER JOIN `background_host_templates` ON (`background_template`.`id` = `background_host_templates`.`template_id`) WHERE `background_host_templates`.`host_id` = 1; args=(1,)
[2016-09-06 07:38:04,502][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo` FROM `background_trigger` INNER JOIN `background_template_triggers` ON (`background_trigger`.`id` = `background_template_triggers`.`trigger_id`) WHERE `background_template_triggers`.`template_id` = 1; args=(1,)
[2016-09-06 07:38:04,503][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_hostgroup`.`id`, `background_hostgroup`.`name`, `background_hostgroup`.`memo` FROM `background_hostgroup` INNER JOIN `background_host_host_groups` ON (`background_hostgroup`.`id` = `background_host_host_groups`.`hostgroup_id`) WHERE `background_host_host_groups`.`host_id` = 1; args=(1,)
[2016-09-06 07:38:04,504][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT `background_triggerexpression`.`id`, `background_triggerexpression`.`trigger_id`, `background_triggerexpression`.`service_id`, `background_triggerexpression`.`service_index_id`, `background_triggerexpression`.`specified_index_key`, `background_triggerexpression`.`operator_type`, `background_triggerexpression`.`data_calc_func`, `background_triggerexpression`.`data_calc_args`, `background_triggerexpression`.`threshold`, `background_triggerexpression`.`logic_type`, `background_trigger`.`id`, `background_trigger`.`name`, `background_trigger`.`severity`, `background_trigger`.`enabled`, `background_trigger`.`memo`, `background_service`.`id`, `background_service`.`name`, `background_service`.`interval`, `background_service`.`plugin_name`, `background_service`.`has_sub_service`, `background_service`.`memo`, `background_serviceindex`.`id`, `background_serviceindex`.`name`, `background_serviceindex`.`key`, `background_serviceindex`.`data_type`, `background_serviceindex`.`memo` FROM `background_triggerexpression` INNER JOIN `background_trigger` ON (`background_triggerexpression`.`trigger_id` = `background_trigger`.`id`) INNER JOIN `background_service` ON (`background_triggerexpression`.`service_id` = `background_service`.`id`) INNER JOIN `background_serviceindex` ON (`background_triggerexpression`.`service_index_id` = `background_serviceindex`.`id`) WHERE `background_triggerexpression`.`trigger_id` = 1 ORDER BY `background_triggerexpression`.`id` ASC; args=(1,)
[2016-09-06 07:38:06,139][task_id:django.db.backends][utils.py:90] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
